A,B
LEVEL 1,0
LEVEL 2,"17 ' - 6 """
LEVEL 3,"40 ' - 6 """
LEVEL 4,"50 ' - 6 """
LEVEL 5,"60 ' - 6 """
LEVEL 6,"70 ' - 6 """
LEVEL 7,"80 ' - 6 """
LEVEL 8,"90 ' - 6 """
LEVEL 9,"100 ' - 6 """
LEVEL 10,"100 ' - 6 """
LEVEL 11,"114 ' - 6 """
LEVEL 12,"128 ' - 6 """
LEVEL 14,"141 ' - 6 """
LEVEL 15,"152 ' - 4 """
LEVEL 16,"163 ' - 2 """
LEVEL 17,"174 ' - 0 """
LEVEL 18,"184 ' - 10 """
LEVEL 19,"195 ' - 8 """
LEVEL 20,"206 ' - 6 """
LEVEL 21,"217 ' - 4 """
LEVEL 22,"228 ' - 2 """
LEVEL 23,"239 ' - 0 """
LEVEL 24,"250 ' - 10 """
LEVEL 25,"261 ' - 8 """
LEVEL 26,"272 ' - 6 """
LEVEL 27,"283 ' - 4 """
LEVEL 28,"294 ' - 2 """
LEVEL 29,"305 ' - 0 """
LEVEL 30,"315 ' - 10 """
LEVEL 31,"326 ' - 8 """
LEVEL 32,"337 ' - 6 """
LEVEL 33,"348 ' - 4 """
LEVEL 34,"359 ' - 2 """
LEVEL 35,"370 ' - 0 """
LEVEL 36,"380 ' - 10 """
LEVEL 37,"393 ' - 10 """
LEVEL 38,"404 ' - 8 """
LEVEL 39,"415 ' - 6 """
LEVEL 40,"426 ' - 4 """
LEVEL 41,"437 ' - 2 """
LEVEL 42,"458 ' - 10 """
LEVEL 43,"458 ' - 10 """
LEVEL 44,"469 ' - 8 """
LEVEL 45,"480 ' - 6 """
LEVEL 46,"491 ' - 4 """
LEVEL 47,"502 ' - 2 """
LEVEL 48,"513 ' - 0 """
LEVEL 49,"524 "" -10 """
LEVEL 50,"535 ' - 8 """
LEVEL 51,"546 ' - 6 """
LEVEL 52,"557 ' - 4 """
LEVEL 53,"568 ' - 2 """
LEVEL 54,"579 ' - 0 """
LEVEL 55,"589 ' - 10 """
LEVEL 56,"600 ' - 8 """
LEVEL 57,"611 ' - 6 """
LEVEL 58,"622 ' - 4 """
LEVEL 59,"633 ' - 2 """
LEVEL 60,"644 ' - 0 """
LEVEL 61,"658 ' - 0 """
LEVEL 62,"672 ' - 0 """
LEVEL 63,"686 ' - 0 """
LEVEL 64,"700 ' - 0 """
LEVEL 65,"714 ' - 0 """
LEVEL 66,"728 ' - 0 """
LEVEL 67,"742 ' - 0 """
ROOF LEVEL,"756 ' - 0 """
EMR LEVEL 1,"771 ' - 0 """
EMR LEVEL 2,"785 ' - 6 """
